Timestamp,Your major:,Are you an international student?,Your living arrangement during this pandemic,Does your living arrangement during this pandemic make it difficult for you to take the most out of online instruction?,How motivated are you about learning after this pandemic?,How well are you able to interact with your classmates about school work through zoom after this pandemic?,How well are you able to interact with your instructors through zoom after this pandemic?,"Describe your sense of belonging to UCLA after this pandemic. This could include ability to cope with challenges, feeling relaxed, not feeling excluded, interaction with diverse students and faculty, etc.",What are the concerns that you have after this pandemic?,In what way if any has this pandemic affected your anxiety about success in academics?,Describe if zoom has helped to lower the effect of social distancing on your academic and social life?,In what way if any has this pandemic affected your philosophy of life and what you consider to be the most important?,"We all talk about the negative effects of this pandemic, please share any positive affect this pandemic has had on you?"
2020/04/24 12:09:51 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"I am a member of the football team at UCLA and because of this pandemic, i feel a part of my daily essential life has been taken from me. So much of my schedule involved being around my teammates everyday and working together with them whether that be academically or athletically and now, i am going a month and a half since i have had that dynamic in my life.",Will the world ever be the same? Will we be able to shake each others hands or attend events with large audiences?,"As a result of this pandemic, there is less structure around the school system. I am finding it difficult to keep up with the many forms of communication as well as being responsible for knowing when and where assignments must be completed.",I have been in touch through zoom with people i wouldn't normally put in effort to see which has been nice.,I have definitely reached an even deeper level of care for my family as i have spent so much time with them under these crazy circumstances. Happiness and health for my family ha become my main priority.,"I am learning strict responsibility as i have to remember and keep track of assignments that are due, as well as time management."
2020/04/24 12:22:30 PM MDT,STEM,No,At home in californa,Yes,Equally motivated,2,1,"It's harder to stay on top of workloads or feel a part of the student groups I've joined, but I'm still staying engaged. It's just harder.","Relatives or friends being infected and passing away, keeping on top of schoolwork, family finances, staying healthy/ keeping my fitness up on the bike.",It has made me marginally more anxious/worried about my success in academics.,"A little bit, but not much really. Being in class and being able to physically attend office hours/lectures is way better for my learning.",It hasn't much. The only thing that changed is that I am more aware of my family and how important they are to me.,"I get to ride my mountain bike more often, which wasn't something I was able to do at UCLA. I also get to see my girlfriend more often, which is great :)"
2020/04/24 12:41:41 PM MDT,STEM,Yes,In dorms,Yes,Less motivated than before?,2,2,Sympathetic,Jobs,Less motivated,Kind of little bit,Made me love nature more,Observing nature more than before
2020/04/24 12:42:08 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"Being at home makes it really difficult for me to focus, normally I would be ab",I am mostly concerned with how long this pandemic will last,It is difficult to study at home since I do not have my own room or desk and it makes having a dedicated time and spot to study like in college difficult,It has I think,I realized that health is the most important thing in life after seeing some of my relatives go through having coronavirus,I got to spend more time with my family
2020/04/24 12:47:39 PM MDT,Non-STEM,No,At home in californa,No,Equally motivated,2,2,"I still feel that I belong to the UCLA community, especially though social media platforms where UCLA has a great presence.","I worry if our daily lives and routines will remain the same, or see a drastic change in the way we interact with one another.","I think online classes have been flexible and I donâ€™t feel too bad about my academics. However, the end of last quarter being switched to online did affect me aced mi ally since some professors decided to give no final and make our grade based on the previous work. Also some professor made their finals even more difficult because they were online. ","Yes zoom allows me to interact with others during social distancing, helping me feel not as lonely.",I think the pandemic has made me realize how important it is to reach out and stay in touch with family and friends because you never know what will happen.,"I have had more time to spend with my family while in quarantine, and also had a bit more free time to do the things I love."
2020/04/24 12:53:06 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,How will classes look after this ,,,,
2020/04/24 12:53:41 PM MDT,STEM,Yes,Outside US,Yes,Equally motivated,2,1,I feel still quite good b/c UCLA does a lot for student staying on campus and the academic tries to take into international students well.,I am concerned about my course and internship planning. Labs are cancelled and I wonder what to write on my resume,"On UCLA campus, I have to stay alone in a dorm and I feel rather anxious and less motivated without people to talk to. I also have to change my flight back home for many times. Answering my even more anxious relatives also is a burden. In addition to these stress, I will have to take 2 midterms right after my 17 hour flight in the airport.",Yes!!! Not just for discussion also workshops. I feel the workshops and activities make it feel the quarter is going as normal.,maybe health is more important and less social media to avoid quarrels and blaming each other.,Maybe more certain to be a life science student?
2020/04/24 1:03:16 PM MDT,Non-STEM,No,At home in californa,No,Equally motivated,2,2,"I still feel like part of the UCLA community, and I do feel relatively relaxed. ",Will fall quarter be canceled? How long will it be before things are back to normal?,"Sometimes the purely online format has made it hard for me to keep track of assignments and due dates, and this has caused me to miss some homework due dates.","Using zoom has helped lower the effect of social distancing, because I am able to talk to people in class and on my own time.",I realized that I value my friendships and my freedom to meet up with people. ,"I have been well rested, I have time to play video games and exercise, and I have been able to spend a lot of time with my family."
2020/04/24 1:11:53 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,2,I don't really feel a sense of belonging because I think attending actual classes at UCLA is more beneficial. ,Concerns that the spread of the pandemic will happen again. ,Been more stressed because I think Professors think they can assign more assignments and make lectures longer.,Yeah it has but I prefer human interaction. ,,
2020/04/24 1:24:10 PM MDT,Non-STEM,No,In US but outside CA,No,Less motivated than before?,2,1,i feel like i barely interact with the peopel in UCLA. so much of the experience is taken away. ,that I won't be able to finish in 3 years like I had planned or get a scholarship like i'd hoped. ,not much. ,"it has, at least i interact with people and sometimes have intellectual debates online. ",hasn't changed much of my philosophy I can think of. ,I get to reconnect and bake with my cousins all the time. 
2020/04/24 1:27:45 PM MDT,Non-STEM,No,In US but outside CA,Yes,Less motivated than before?,2,1,"do not feel as included as before, since i'm not getting the full experience.",that I won't finish in 3 years or get a scholarship like I had planned. ,not much ,yes a bit. ,not much.,I get to spend time with my family. 
2020/04/24 1:49:24 PM MDT,Non-STEM,No,At home in californa,Yes,Equally motivated,1,1,"I thinks it will be quite difficult to talk to others after this pandemic. Nothing will be the same, so I will definitely be taking some time to adjust.",How long it will take me to adjust,It would definitely be easier to ask questions in person,zoom has helped me social distance myself ,Living a fit and healthy life will always keep you on the safe side of the tracks,
2020/04/24 1:50:16 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"While not being on campus is definitely less stressful, lacking that experience is really lowering my motivation. It makes me question why I'm at UCLA over other schools.","I'm concerned what the ""new normal"" will be. I'm concerned for business owners. I'm concerned how colleges are going to ruction after this. Will there be a trimming of excess and bloated systems, or will we lose a vital part of our society?",It hasn't really affected my anxiety. I do miss the physical interaction with professors though.,I've only zoomed for classes. It hasn't contributed to my social life.,It helps me realize that I take a lot for granted. I also have a newfound respect to the American public who desperately wishes to get back to work. ,It has given me more time with my family.
2020/04/24 1:54:08 PM MDT,STEM,No,In US but outside CA,No,More motivated,2,2,"Feeling of exclusion. Even when I enter breakout rooms for lab, all the other students are muted and we do not really interact with one another. ","none, I just hope to continue my current relationships with other students and maybe value new relationships better","not much, I really don't have anything to do but eat, sleep, and study, so I am more productive",not really,"I value social connection more, but I also realize that being alone forces me to focus more on studies ",My focus on myself and my classwork
2020/04/24 2:02:05 PM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,Very little sense of belonging. I barely feel like a student at this time. Just going through the motions in order to complete my degree. ,More difficult to find work after the pandemic. ,,Zoom has helped a bit- but not very much. Many students don't enable their video so it's basically talking to a screen. ,,"Has allowed me to be more introspective. Spend more time reading, learning about myself, and analyzing my world views. "
2020/04/24 2:12:39 PM MDT,STEM,Yes,Outside US,No,Equally motivated,2,2,N/A,N/A,It hasn't affected anxiety regarding academic success,N/A,N/A,Quarantine has allowed me to work for longer
2020/04/24 2:21:32 PM MDT,Non-STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,,,I'm a lot more anxious about academics because I no longer have access to the resources that I used to have and learning environment is a lot more distracting and stressful than living in dorms. Being oversea makes it a lot harder to juggle everything and the time difference makes a lot of things more complex. ,,,
2020/04/24 2:23:45 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,It will be difficult to adjust back to normal. ,I will have done bad in my courses during the pandemic. I will not be able to become as motivated again.,It is a lot harder to learn and focus on courses with everything going on. ,"Yes, it has. I am at home taking the courses",I realized I am comfortable with few people and should choose and focus on those people.,I am spending more time with my family.
2020/04/24 2:47:51 PM MDT,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,"The timezone issues make watching live lectures an issue for me, so I tend to feel more disconnected from my classmates. ","I'm a freshman, so I'm trying not to be too worried about this, but the effects on employment for international students is definitely something I'm concerned about. ","I'm less motivated and focused and I'm scared how that'll impact my grades. I also reduced my course load from 18 to 13 units, which makes me feel guilty about my lack of productivity. I also feel like given the pandemic's effect on the job market and internships and the like, I'll have to compete for a reduced number of spots and that heightens my anxiety.","Since I don't really watch lectures live, I wouldn't say zoom has much of an effect. ","It's definitely made me prioritize my family, safety and mental wellbeing over the more traditional and visible forms of success. But at the same time, during a pandemic, I often feel like I see the worst of humanity (in its selfishness & capitalistic tendencies). Which isn't to negate the millions who have come together and uplifted each other in this time of crisis, but this whole pandemic definitely makes me feel bitter. ",I get to spend more time with my family and I've started doing more artwork for the first time since elementary school!
2020/04/24 2:55:20 PM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,I will feel very included and wish I could be back on campus where the environment is inclusive.,I am worried we will not be able to go back to school and interact in the same way as before.  ,"I am relatively unaffected. I feel slightly less motivated, but at home I still have the capability for success. ","It has helped, I no longer need to be in person for school or my social life.",I think it is important to do things that I want when I can instead of waiting for a seemingly opportune time. It is important to seize the moment.,I have been able to spend quality time with my family.
2020/04/24 3:05:12 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,1,2,There seems to be no connection or sense of belonging with the campus community. It doesnt feel like I'm going to UCLA. It just feels as if I'm completeing some coursework online. ,I am currently paying for an off-campus apartment which is currently empty because everyone went back home. I am concerned with payments and need to figure out what to do. I am not sure if I should cancel my lease as affordable  housing is difficult to find and do not know when in-person classes will begin again.,"My anxiety about academics is somewhat the same as before, but with minor inconveniences the home order has brought. Because I am home all day, it is hard to separated my home and work life so it is harder for me to get motivated to do work. I also don't have the same academic resources as I used to, so I feel more anxious in not performing as well as before or at the same level as my classmates.","Zoom has been somewhat helpful as I am able to meet face to face with my professors and classmates. It feels more comfortable when I can see my professor teaching. Also, I have been able to meet with family members and friends which has been very exciting as I have not interacted with others, besides those who live in my houseold, in over a month.","This pandemic has taught me to value every little thing in my life. I was privliged to be able to go outside and enjoy the sun and from now on, I need to be grateful for minimal everyday tasks. I have grown to cherish the relationships with my family members and friends as I now realize how big of an impact they had on my life and happiness.","I think the pandemic has given me an unconventional break from society and given me time to reflect on myself and personal goals. It has been a time of reevaluation of myself as a whole human being. I also have been able to spend time more time with my family. I'm able to sit and watch a soap opera with my mom, something I haven't done in awhile."
2020/04/24 3:10:54 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"I just feel very unmotivated. I'm struggling to get everything done and I really don't learn well online. Most of my professors have significantly increased the workload of their classes (as compared to previous syllabi), and though it's fair, it isn't easy.  ",I worry about my ability to keep up in courses this quarter and how that will impact courses next quarter. I'm also worried about housing. ,I'm much more anxious about my success in academics.,"Not even a little bit. The breakout rooms are the only semblance of interaction that Zoom provides, and those are awful. Most people have their computers on just for attendance, and they aren't actually interested in interaction.",It's taught me that I really need to learn to give equal attention to schoolwork and friends.,I've finally finished watching all those netflix shows I started last year. Also I did save money from the whole housing shebang. 
2020/04/24 3:20:41 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,I've grown upset with UCLA over the past 2 years. A sense of belonging doesn't matter to me as much as being able to afford school. I didn't belong at UCLA to begin with.,That people will forgive corporations and forget how much they've corrupted the US government. This pandemic serves as a strategic PR move for many companies and I worry that the momentum that has been building behind anti corporatism will halt somewhat and be unable to reach more people. ,It's made me doubt my focus on academics. I don't have a good learning environment back home and I feel that I've become less productive overall by a large amount.,Not at all. I'd left UCLA and have been practicing social distancing at home.,"The pandemic has not affected my previous philosophy of life. Money seems to be the most motivating factor for everyone during these times. Stimulus checks, relief for ""small"" businesses, and bidding over medical supplies has confirmed, for me at least, that money, if it cannot buy happiness, can at the very least buy security. For those who are lower income and cannot afford security, such as myself, life feels hopeless as it always has been.",It was nice to not have to pay for a quarter of housing. It has helped greatly in not putting any further financial burden on myself that could have transferred to my family.
2020/04/24 3:22:04 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"I feel even more isolated than I did back on campus. I feel like being home has helped tremendously with my eating disorder. I'm very conflicted because some things are better here than at home and vice versa. e.g. I was more physically active. At home I spend most of my days in bed or at my desk(which is 4ft away from my bed) Overall, I'm just trying to make the best out of what I have. ",I'm a little worried about racism against Asian students. I'm worried about financially getting back up from this. I'm worried about my work study job that I got hired for before moving back home. ,"I've worried about being motivated enough to do my work. I feel like I'm less able to keep myself accountable. I''m worried about seeking help with my classes. I'm in AAP, but the quality of their resources this quarter aren't as good because it's remote. (Which is none of their fault and they're trying their best to operate as normal as possible)",It definitely helps. I'm not sitting in jam-packed lecture halls smushed up against other people. I even have actual desk space. The only people I see on a daily basis is my immediate family. ,I definitely appreciate going outdoors more. I also appreciate the gym more. The pandemic's effect on capitalism has made me think of how easily we could seize the means of production. But once the pandemic is over things will go back to normal and we'll continue being wageslaves. But I hope we don't.,"Like I mentioned earlier, I've been recovering from my eating disorder. I've actually continued losing weight at home and I'm drinking a lot more water. Back at UCLA I didn't drink much so I wouldn't have to miss class because of frequent bathroom visits. Now, I can go all the time! I can even watch the lecture from my phone while in the bathroom!"
2020/04/24 3:26:43 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,,"I'm concerned that the world will never go back to normal and the world is ending, which makes me stress more. ",I'm worried that I get distracted easily which means I'm not paying enough attention as I should be while attending zoom lectures.,,,I get to spend more time with my family.
2020/04/24 3:29:35 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,The concerns that I have after this pandemic would be trying to adjust living on campus and attending lectures/discussions/PLFs etc. Another concern that I also have is finding money to pay for bills that were not payed throughout the pandemic. ,This pandemic has made me extremely unmotivated to continue through this quarter. There is absolutely no space in my house where I can study quietly. Not being able to study nor think straight gives me anxiety to what my final grades may show. ,"Zoom has not really helped in lowering the effect of social distancing in my academic or social life because half of the times my classmates are muted or their video is off, leaving me only with the interaction of the professors. ","This pandemic has affected the way I think. Specifically, it has shown me that it is really important for everyone to take care of their mental health during uncertain times, and even in certain times. It is easy to let go of oneself. That is why it is important to practice self care at a fixed amount of time in order to help cope with things easier. ","This pandemic has convinced my parents to let my siblings and I have a puppy. Last week, we bought a 6 week old beagle from a friend. He has really made us more active because he always wants us to play with him. He has also made my family more united in the sense that we all want to take care of him and lookout for his wellbeing. "
2020/04/24 3:50:56 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"My sense of belonging to UCLA has been disrupted after this pandemic.  I believe that taking courses online has made it difficult to have this feeling of connection to UCLA.  Being at home has made it hard to cope with challenges since new challenges with being at home has arise and it is harder to reach out to friends about this.  I am feeling relaxed in the sense that I do not have to worry too much about going out to get food, doing laundry, and walking to classes; however, online learning is a very different experience.  I am worried about keeping up on all of my work and a bit stressed about learning the material especially since I am not in person.  I've felt that there are less opportunities during quarantine.  I guess for interaction with diverse students and faculty, there have been an easier way to connect with people online and through zoom so in that sense, I believe that aspect has actually improved.  ",I am concerned with online learning especially since I am not the best at learning online.  I am concerned with the health aspects of the future for sure and what this means for my future at UCLA.  ,"Yes it has affected my anxiety about success in academics.  As I said above, I am worried about online learning.  However, I am also worried since it is hard to find motivation to do the work especially in this crisis.  Lastly, being at home, it is hard to find and designate good places to study where I will not be distracted by family members.  ",Yes zoom has helped to lower the effect of social distancing on my academic and social life.  Zoom has been helpful in making teachers and other students accessible.  Zoom has connected me with my best friends from back home and we have weekly zoom calls which is nice.  Also I do daily workouts with my friend on zoom so that has helped keep me motivated and working out. ,"This pandemic really put into perspective that there are bigger things than academics that are important.  Of course, school is necessary and to try your best; but just seeing how corona is affecting our population, you just never know when something like this will happen.  Take every single day for what it is.  Be happy and to live to the fullest.  I guess I've always considered family, friends and experiences to be very important already; however, this has made it more prevalent to me.  Additionally, health is very very important! ","I have found a lot of down time to do other things with the extra time.  I have found more time to improve my health by working out and getting more sleep.  I additionally found more time for my hobbies and passions of music.  Lastly, I really have enjoyed how the professors have recorded the lectures so that I can go back and review them if need be.  While learning is harder, it has been a very positive experience having all of these resources available to me.  I also am just looking at this time optimistically: spending more time with family and friends, and taking this time to do more stuff that I love. "
2020/04/24 3:51:14 PM MDT,STEM,No,In my apartment,No,Less motivated than before?,2,2,I feel sad that we no longer get to have the community sense while I still have to pay for tuition.,Honestly I'm not sure if it will end before my senior year.,No,Yes it has. It's nice to still have a reliable way to interact with friends.,No,I learned how to play the guitar and lost some weight.
2020/04/24 3:54:51 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,I was able to have a sense of belonging through tutoring programs such as AAP but it is no longer easily accessible,Will we go back to normal interaction or will I have to continue to pay for services that I no longer benefit from. ,It has just made me less motivated to actually learn and more motivated to just get my work done. ,n/a,n/a,I am able to see my family more now. 
2020/04/24 3:55:31 PM MDT,Non-STEM,No,At home in californa,Yes,Equally motivated,1,2,I feel much less connected to nearly every area of the UCLA community.,How the pandemic will affect job prospects,I worry a great deal about whether I will success academically with the online format.,No,It makes me feel hopeless regarding our government and has shown me that in order to create a better life for my children I will one day have to leave this country. ,I've been a victim of the virus as well as my brother. I've additionally lost my job. 
2020/04/24 3:58:33 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,1,,I am concerned about adjusting back to academic life and the old structure of classes. ,Working at home is a completely different environment so it has stressed me out more than usual about finishing assignments and studying.,"Zoom has definitely been a great tool in helping cope with social distancing, but it can not match in person interactions.",The pandemic has made me closer to family which I am grateful for.,"I am able to spend quality time with my family which is very special considering my siblings are growing up. Also, I am able to save money by living at home instead of the dorms. "
2020/04/24 3:58:47 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"I miss all the activities and stuff I could do on campus and the community, I don't feel part of ucla at all rn, I feel like Im just taking classes anywhere",things going back to normal,Im worried I don't pay as attention anymore and am no longer inspired in class,zoom has made life so much worse,to appreciate friends and to appreciate my personal alone time and space,nothing
2020/04/24 3:59:17 PM MDT,Non-STEM,Yes,In US but outside CA,No,Less motivated than before?,2,2,I appreciate the updates on everything thats going on,general concerns about what things will be like,very little,a little maybe,reminds me to not get too caught up in the past and live my life,getting to know the people around me more 
2020/04/24 4:01:08 PM MDT,STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"I feel more distant with UCLA. However, I feel more close with the student body since everyone is going through this pandemic together. It feels like the school and its students are very separated right now.",I'm worried if I have a strong grasp on the material that I am currently learning.,"It's been a lot to try to balance the stresses of online learning with the pandemic that's going on. As a result, I think online learning adds stress in some way.","It has helped, but it is still very distant.",I think it's broadened the scope for how I view life. I realize that there's things bigger than just academics and things that are hard for people to control.,I've been able to spend more time with my family.
2020/04/24 4:01:14 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,2,"I feel that I still belong in the UCLA community because I still have contact with my friends in school. I feel a little more relaxed that I am staying at home, but I also find it harder to focus on schoolwork.  ",I am concerned that my study habits might not be the same as before as well as adjusting to the school environment again. ,"The pandemic hasn't really affected my anxiety about success in academics. However, I find myself a little less focused on schoolwork. ",Zoom has lowered the effect of social distancing because a lot of my classmates are friendly and outgoing in the chat. Everyone seems to have a good time in lecture. ,"This pandemic has caused me to focus more on maintaining my motivation through the quarter. Because I'm at home, it is much harder to focus,  but I need to stay motivated and get good grades.",Life at home is much less stressful and more relaxing than life on campus. 
2020/04/24 4:02:59 PM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,2,I think that my sense of belonging to UCLA will not change much after the pandemic.,I am concerned that I will loose the social connections/bonds that I formed before the pandemic. ,"It, if anything, has made me more anxious.","It has for my zoom class that is discussion based, but not the lecture zooms. ","This pandemic has made me realize what I prioritize in life, such as family, happiness and the well-being of people.  ","I have been able to spend quality time with my parents and sisters, as well as complete long term projects that I never had time for before. "
2020/04/24 4:04:06 PM MDT,STEM,No,In my apartment,No,More motivated,2,1,"I feel like UCLA has done an amazing job converting into online classes. Despite the number of students, UCLA faculties have used and created platforms for their students to perform well despite this pandemic. I feel very good with everything. The only sad part is not being physically there with the professors and students. ",Going back to big lecture halls because some students might potentially still have the virus even though it might not be symptomatic.,"It has not. If anything, it makes me more eager to learn because I have more time. ",Zoom has helped on social distancing.,Have good hygiene.,"I have been able to pick up new hobbies like cooking, reading, etc. "
2020/04/24 4:05:08 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,1,I still feel that I belong,I'm worried about missing out on my college experience,I think my anxiety is unaffected,"Zoom has been a medium to interact with others, which has certainly been positive",NA,NA
2020/04/24 4:06:11 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,2,"I am not excited as before, UCLA gave me a comfort home with many opportunities where I am able to focus with studies and interact with friends and teachers. At home, it is difficult to focus since I am in a small place and everyone is doing online classes and it is hard for me to block out the noise. ",If I will be prepared for the class that follows other classes. ,"It has made it more stressful. Even when I receive help and aid, I am still confused. The lack of person interaction and being able to interact like before makes it difficult to learn. ","Yes, it has allowed for more interaction, but it is still stressful and hard. ","I start to question everything. I worked so hard to enter UCLA and it got taken from me. I worked hard and felt like I was making a home, and that changed within days. ",It has helped me connect with my brothers more. 
2020/04/24 4:06:50 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,I feel like I belong at UCLA even after this pandemic.,It will take a long time for us to get back to normal after this pandemic. I am nervous about what changes we will have to make when we do return to in-person classes.,It has not affected my anxiety about success in academics.,Zoom has helped me a lot in terms of academics and my social life.,It reconfirmed that health and the people you care about are the most important things in life.,More time at home to relax and learn new things.
2020/04/24 4:07:32 PM MDT,Non-STEM,No,At home in californa,Yes,Less motivated than before?,2,1,"It's hard to be missing that connection with my classmates during discussion, which makes it harder to speak up and makes it a whole lot less personal",Sometimes I wonder if I am losing study habits from being so unmotivated and it will be harder to go back to normal.,I am constantly nervous about my grades and whether or not I should be making my classes P/NP and whether or not that would negatively affect me when I apply to grad school.,"Yes, to some extent, but also half my classes don't meet on zoom at all so there's no sense of connection there at all.","It has made me realize how much I depend on being with people, but that I must put that aside for the safety of others. ","I am getting a lot more sleep than before, but to be honest I don't know if that is completely a good thing because it affects my mood"
2020/04/24 4:08:59 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,2,1,"I still feel included at UCLA, but I feel that having to be at home takes 80% of the value out of my college experience for this quarter. It is lonely. ","I am very worried about having class be online this fall. I am also worried that some friends will not return and choose less expensive education options. If fall had to go online, I feel it might be better to just push fall quarter to winter quarter. ",I understand that it will be harder to score high on midterms because cheating will be widespread. I am not anxious about it because it is what it is.,"If I had to choose between doing class on zoom versus just assigned readings with no lectures, I would choose zoom. I would much rather be in class in person, and I do not think that the educational experience that I have had on zoom is worth full-tuition.","I have always valued being social and spending time with my friends. I feel that when I get back to campus I will only do extracurriculars that I want to do, and choose spending time with others over studying. Obviously I will still try to get a 3.5 gpa, but now that I am home I think back on the time I spent with others very fondly. Spending my time the way I want to is one of the things that matters most to me. ",I will be even more excited to return to campus. 
2020/04/24 4:09:07 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,2,"I still feel like I belong. Since we are all in this together I don't feel a lack of connection to UCLA. Social media makes it easy for me to see my friends and UCLA emails keep me a part of the loop. Especially, community through my christian fellowship has kept me feeling belonging to UCLA.","My main concerns are how soon can we get back to regular life, knowing that this quarantine/social distancing can last a whole year. I wish to be able to live in the dorms with roommates, eat at the dining halls with friends, go to physical class, and just spend time with others walking around on the campus. Just how long I have to wait is what I want to know.","No, my profs have been very accommodating and haven't increased the workload, if anything have made things easier while keeping themselves available through office hours via zoom.  ","Yes, zoom has helped. I especially appreciate something my calculus professor has done, recording lessons into videos beforehand. zoom is also a great way to chat with friends, so it has helped in social life as well.","This pandemic has helped me to reflect on my time at UCLA, and to see how life is very short and not promised. This experience will definitely make me cherish life itself and especially when we are able to return to UCLA.","It has increased my appreciation for my friends, family, life in America, and increased my religious faith."
2020/04/24 4:09:10 PM MDT,STEM,Yes,Outside US,Yes,Less motivated than before?,2,2,It feels comforting to know that everyone is trying to collectively deal with the pandemic,Worried about how long it will take to get back to the usual routine without having to worry about social distancing.,Made me extremely unsure about what the future holds.,It has increased social interactions although virtually.,Valuing relationships with elders and cherishing contact with our loved ones.,Has made me reconsider how frequently I express affection to people I am close to.
2020/04/24 4:09:33 PM MDT,STEM,No,At home in californa,No,Less motivated than before?,1,1,"I think that my sense of belonging to UCLA after this pandemic has definitely decreased, especially due to distance learning. I am still able to interact with friends over the internet, however it just is not the same compared to being in person. It has been harder to focus on school as well, just due to it being online and having other responsibilities since I am at home now. However, I do feel relaxed at home but just in an odd setting for school that I am not quite used to.","I think I have concerns over what the new ""normal"" well be, and of course, when this pandemic will actually be over. ","I think it has given me a new perspective on the role of academics in my life. Additionally, I feel like a large part of paying tuition is partly having the college experience, which I really don't feel like I am getting due to distance learning. In addition to the lack of jobs currently, that is worrisome as well for future plans.","It has helped, but is still not quite the same.","It has reminded me to take care of myself, as well as realize how precious spending time with others is, and that school is not the most important thing.","Being able to slow down life and academics, taking time to actually rest, getting more sleep, as well as having actual time to explore other interests."
2020/04/24 4:10:00 PM MDT,Non-STEM,Yes,In US but outside CA,No,Less motivated than before?,1,2,it's definitely brought me closer to the friends i made at college and also my classmates but i feel slightly disconnect from ucla because i'm physically far away from it. ,that things won't go back to what they were before everything escalated. I feel like everyone is going to live extra cautiously and it will increase the general stress levels.,"I feel as though I'm not taking things seriously enough, which is increasing my anxiety because i'm worried it will bring my performance down.","Yes, I speak to my friends on video calls regularly. it really helps",This pandemic has really taught me to stop taking my softer skills like being patient for granted,"it's brought me closer to the family i'm staying with, as i'm not staying with my parents in India right now "
2020/04/24 4:10:02 PM MDT,Non-STEM,Yes,At home in californa,Yes,Less motivated than before?,2,1,"I don't feel very connected with UCLA during this pandemic. It is hard to do well in online classes, be away from my friends, and not be on campus.",I am concerned that the transition back to on campus classes will be difficult.,I feel more anxious because it is harder to reach out to professors and teaching assistants to get help. Getting help online is not the same as getting help in person.,Zoom has not changed my social distancing at all. I am at home and do not feel anymore connected to anyone at UCLA through zoom.,This pandemic has reminded me how important it is to spend quality time with my family.,This pandemic has allowed me to get more sleep.
2020/04/24 4:10:37 PM MDT,STEM,No,At home in californa,No,Equally motivated,2,2,"I feel that I still belong in the UCLA community because I am still in contact with my friends from school. I feel more relaxed staying at home, but it's also harder to focus on schoolwork. ",I am concerned that my study habits might not be the same as before as well as adjusting to the campus life again. ,"The pandemic hasn't really affected my anxiety. However, I find it a little harder to stay focused and motivated on schoolwork. ",Zoom has helped lower the effect of social distancing because my classmates are friendly and outgoing in the chat. Everyone seems to be having a good time in lecture.,"During the pandemic, I have discovered that motivation is key to my success. I know that even though I am living at home, I still need to stay motivated and do the best that I can. Since there is so much free time, there is less of an excuse to do poorly in school. ","Living at home is more more relaxing and less stressful than living on campus. Also, I have much more contact with my best friends back home. "
2020/04/24 4:11:18 PM MDT,Non-STEM,No,At home in californa,No,Less motivated than before?,2,1,"It is more difficult to feel a sense of belonging at UCLA when I am not physically on campus, living with roommates, attending club meetings, and going to class.","Inability of the government to effectively respond to emerging threats, financial insecurity, mental health concerns.","Yes: I perform well in a classroom setting and online classes have made it more difficult to keep my focus during lectures, as well as stay on top of assignments.","I'm not quite sure what is meant by ""lower the effect of social distancing."" Zoom has made it possible for me to stay on track to graduate on time, since I will receive credits for spring quarter. This wouldn't have happened 30 years ago. In terms of social life, zoom has done little to substitute for what life was like before the pandemic.","This pandemic has made me more eager to take advantage of every day I have, and take time to travel and do new things. ","This pandemic has given me the time to be at home with family, and to learn skills I wouldn't otherwise have the time or energy to learn, such as cooking."
