"Timestamp","Demographics","Fill-in your major","Fill-in your minor","Ethnic background - If you select Asian or other please, specify country of origin by typing in the line given in front of the ""Other"" option.","Year in college","Are you an International student","Are you transfer from community college? ","What is your UCLA GPA","Is English your first language?","Are you first generation to attend college? ","Mother’s level of education","Father’s level of education","Question one. Tell us or provide examples of situations in which academic issues made it challenging for you as a STEM major?","Question two. Tell us or provide examples of situations in which emotional, social, or cultural issues made it challenging for you as a STEM major?","Question three. Tell us or give us examples of situations that helped you feel a “sense of belonging or lack of it” to our campus?","Question four. Please provide us with suggestions of potential steps that could be taken to minimize the challenges of STEM majors at UCLA."
"2020/01/20 5:01:19 PM MST","Male","Data Theory","N/A","Caucasian","Sophmore","No","No","3.6","Yes","No","Four year college","Graduate or professional degree","I struggled a lot in PIC 10A as it was my first time coding ever and many kids in that class had been coding for years. ","Sometimes it can be stressful to complete all of my assignments on time","Sometimes in classes where I don't know anybody and I see big groups of people who all know each other it feels like I don't belong. ","Definitely less homework, some of my classes provide 8-10 hours weekly"
"2020/01/20 5:27:34 PM MST","Female","English","","Caucasian","Sophmore","No","No","3.7","Yes","No","Graduate or professional degree","Graduate or professional degree","This is the first STEM class I've taken. I hate math and science so I am not a STEM major. ","STEM classes made me hate myself in high school because I constantly felt like I had to prove my worth. I feel the same way now. ","Being a north campus major makes me feel like I belong. ",""
"2020/01/20 5:54:40 PM MST","Female","Sociology","None","Asian;South Korea","Sophmore","No","No","3.2","No","Yes","High School or Less","High School or Less","I personally am not a STEM major. ","I personally am not a STEM major. ","Because I am not a STEM major, I don't think I can answer this question regarding my sense of belonging or lack of belonging to any STEM courses or majors. However, I do feel that as a non-STEM Major, I feel a lack of recognition many times due to the emphasis in academia regarding math and sciences. ","As a non-STEM major, I believe that it is important to minimize the stress that is put upon STEM majors at UCLA. This might include incorporating more assignments so that students majoring in STEM can fall back on them rather than feeling the pressure to do perfect on one exam. "
"2020/01/20 5:54:49 PM MST","Male","Political Science","Film and Television","Asian;Vietnam","Sophmore","No","No","3.802","No","No","Four year college","Four year college","Non-STEM major","Non-STEM major","When everyone I talk to about a class I'm confused in is just as confused as I am -- none of us are alone",""
"2020/01/20 6:02:38 PM MST","Male","Predeclared Data Theory","None","Asian;Caucasian;Taiwan","Sophmore","No","No","3.403","Yes","No","Four year college","Two year college","The math courses are rather difficult, so my GPA got low. Data theory requires me to get a GPA of 3.3 to be guaranteed admintance in the 3rd quarter.

Also, as a new major, many of the classes are new. I might not be able to attend all the classes that I need to attend, which is concerning.","I guess sometimes I feel weirdly inadequate in comparison to other STEM majors because I was undeclared for such a long time. Otherwise, I don't face many emotional, social, or cultural issues.","Strangely enough, I feel like I really belong to the campus when I meet alumnis from outside of the campus. They're really friendly, and it feels like we have common ground. I even got complimented by some workers in airforce security for wearing a UCLA hoodie! 

Also, in general, the people (students, professors, even just workers) all feel really friendly here. It's definitely the people that are on campus.","It's kinda hard, but I think making peer connections without it feeling forced would be a really great step towards minimizing the challenges of pretty much any major at UCLA. Getting to know others is so vital.

I guess a more concrete suggestion that is related to STEM is to make easy to read charts of the all the pre-requisite classes for the majors, for at least the undeclared STEM majors. I didn't know which math classes to take, if I'm taking too many; etc etc."
"2020/01/20 6:31:56 PM MST","Male","Sociology","None","Asian","Senior","Yes","No","2.5","No","Yes","High School or Less","Two year college","I am not a STEM major student, but as a sociology student, I guess the language barrier is the most challenging one for completing a academic career in UCLA. ","In sociology, normally I won't be able to encounter a lot of Chinese students. As for native students, it seems to me that communication would always end with academic topics, because my lifestyle as a Chinese is quite different from theirs.","I guess, the academic counseling is really helpful because every time I came across certain issues in my college life, I came to them for help, and they made me feel one of the large community. ","I guess, the college could organize more activities which involves students from both domestic and overseas. To help them bonding is very beneficial for international students to develop friendship with locals."
"2020/01/20 6:34:27 PM MST","Female","Chicanx Studies/ Sociology ","Education/Labor Studies","Latino/Hispanic","Sophmore","No","No","3.4","No","Yes","Two year college","High School or Less","Not having the resources to have a tutor to better understand the material made it challenging to major in STEM.","n/a","What has helped me feel a sense of belonging on campus is finding a community of people who I share commonalities with. ","Provide more support for the students, the weight of having to earn a certain grade weighs heavy on students."
"2020/01/20 6:39:49 PM MST","Female","economics","cognitive science","Asian","Sophmore","No","No","3.0","Yes","No","Two year college","High School or Less","tests are unreasonably hard.","stem classes are harder. Professors should teach with simple examples.","Faculty helpful. Some teachers are too strict.  Some professors are unreasonable","provide study guides"
"2020/01/20 6:40:27 PM MST","Male","Mathematics and Economics","Statistics","Asian","Sophmore","Yes","No","3.90","Yes","No","Four year college","High School or Less","My math 115 class","None","The amount of smart people in some of my classes make me feel like I don't belong","Make more resources available to help students with concepts taught in class"
"2020/01/20 6:44:25 PM MST","Male","Computer Science","N/A","Asian","Sophmore","No","No","2.5","No","No","Four year college","Four year college","I love coding, however many computer science classes do not involve as much coding as I would like, and often the content feels irrelevant for someone like me, who wants to enter the workplace. If these classes were more practical, perhaps I would have been more interested and engaged. ","N/A","N/A","Don't make the content hard if it doesn't help the student learn the material. Also, allow more freedom in majors. For example, allow students to take a more practical path or a more theoretical path. This way, someone who wants to learn skills useful in the workplace don't have to take classes that are not going to be very useful to them in the future."
"2020/01/20 6:47:57 PM MST","Female","Molecular, Cell, and Developmental Biology","NA","Asian;Sri Lanka","Sophmore","No","No","3.7","Yes","Yes","Four year college","Four year college","I didn't go to office ours or ask TAs questions until recently. Why I had to drop Math 32B last school year because I was failing.","Not knowing how to balance a social life before entering college and letting it interfere academically","Talking or being around people of diversity. They were relatable and we had our own struggles and overcoming of obstacles that made me feel like I belong.","Maybe the professional formation of study groups students can join online or something for their classes???"
"2020/01/20 7:13:21 PM MST","Female","human biology","n/a","Asian;chinese","Sophmore","No","No","3.6","Yes","No","Graduate or professional degree","Graduate or professional degree","i wish professors would hold review sessions for midterms/finals and give out previous test examples so students are prepared for what to expect format wise on tests","some professors are condescending and perhaps they don't mean to be but it discourages me from trying to get help and understand things.","n/a","help create study groups for students or weekly study sessions"
"2020/01/20 7:14:23 PM MST","Female","Global Studies & Political Science","n/a","Caucasian","Sophmore","No","No","3.759","Yes","No","Four year college","Four year college","n/a not a STEM major","n/a not a STEM major","Having smaller classes with professors who take the time to understand what the class needs, rather than blatant lecturing really helps. In addition, the social structure of the Hill and dorm life makes the campus feel a lot more connected.","n/a not a STEM major, but I think that the separation of campus (north/south) makes the emotional/cultural environment of STEM feel very separated from the rest of the college."
"2020/01/20 7:37:04 PM MST","Female","Politcal Science","","American Indian","Sophmore","No","No","2.65","Yes","No","Two year college","Two year college","I am not a STEM major, therefore this is a whole new area for me to study, but I'm enjoying it while also find it challenging it for me.","Being a Native American student here on campus can be difficult in general due to lack of recognition and support from our admin.","I felt welcomed by the students as well as other professors but there were also incidents where professors and other faculty made me feel less than, but I have overcome that.","Maybe express how challenging this class can be while also expressing that it is normal to struggle as most students do ."
"2020/01/20 8:26:19 PM MST","Female","Chemistry/Materials Science","Statistics","Asian;India","Sophmore","Yes","No","3.6","Yes","No","Graduate or professional degree","Graduate or professional degree","There are quite a few difficult classes that I needed to take. Math 32B (Multivariate Calculus) was one of them, as was Chem 30A (Organic Chemistry I).","I am an introvert by nature, and sometimes struggle to seek help from professors or TAs and to make friends in class. Besides, I sometimes feel stressed by the amount of work I have.","Everyone on campus was extremely friendly. My roommates helped me settle in, and I made friends over the months. I now feel a sense of belonging to the campus.","STEM fields are difficult. That is the universal truth. However, more organisations providing guidance could be created to help students."
"2020/01/20 9:28:41 PM MST","Male","Financial Actuarial Math","Statistics","Asian","Sophmore","No","No","3.5","Yes","No","Graduate or professional degree","Graduate or professional degree","Taking multiple STEM classes during a quarter results in a strenuous amount of work. Midterms line up, homework lines up, etc., so finding time to do other activities is tough.","Similarly, hanging out with friends, playing sports, finding time to work out all take time away from work, so its tough to manage all of these activities in a timely manner.","All the friendly people, both students and faculty helped me feel a sense of belonging.","Some classes would become easier if more office hours were provided."
"2020/01/20 9:55:02 PM MST","Female","Anthro + Bio","n/A","Asian Indian ","Junior","No","No","3.0","Yes","Yes","Two year college","Graduate or professional degree","When professors don't explain simple ways to understand a concept or do reversed learning (lessons at home, review in lecture)","Just thinking you have to be the best of the best and get the best grades or you'll be a disappointment has put a lot of stress on me. ","Being a part of ResLife and other Organizations on campus have helped me feel welcome and heard. ","I think making classes less competitive and more about learning the opportunity. giving extra opportunities to get the grade they want while still learning the material. "
"2020/01/20 10:08:27 PM MST","Male","Political Science","Double-Minor: History and Labor Studies","Latino/Hispanic","Sophmore","No","No","3.975","Yes","Yes","High School or Less","High School or Less","Not a STEM major, but often the pace and workload in STEM classes I took as GEs made it difficult to keep up","I have not faced emotional, social, or cultural issues that presented challenges in any STEM GEs I have taken","Giant class sizes and the decentralization of campus activities can make UCLA feel like less of a cohesive community","A less excessive workload would be a good first step, especially cutting down on labs that are unrelated to lecture material, which I have encountered more than once in STEM classes on campus"
"2020/01/20 10:14:25 PM MST","Male","Pre Human Bio and Society","none yet (planning on doing society and genetics)","Caucasian","Sophmore","No","No","3.5","Yes","No","Graduate or professional degree","Four year college","I am constantly frustrated in UCLA's lack of attention towards their students in terms of accessibility for study space. I have been kicked out of classrooms/study spaces multiple times because UCLA has decided to close these spaces at ridiculous times, showing they care more about saving money in the electricity bill than about their students succeeding in their academics.","As someone is religious, I've noticed multiple professors subtly bash religion through their scientific teachings. While it's important to have an open-mind and there is a clear distinction between science and religion, some professors don't seem to care.","Any time I am surrounded by my peers who are equally interested in success in the classroom as I am. Whether it be during class, in study groups after class, or in the library, this school has motivated me since I started to be a better student.","I think you could have smaller lecture sizes. There have been times where I didn't even get a seat in a lecture hall because there are 300+ students attending the same class. Often times, us students feel a disconnect with the professor, but I don't think UCLA does much about it. Also, I think they need to have more 24 hour study spaces. I am sick of being told ""X"" building is closing at 7pm, when I planned on being there for hours."
"2020/01/20 10:52:18 PM MST","Male","Applied math","Applied math","Asian;China","Junior","Yes","No","3.7","No","No","Four year college","Four year college","Most STEM courses have only three lectures per week (50 mins * 3, discussion 50 mins * 1 / week), which is much less than the instruction time than my home country (lecture 1 hour  *  5, discussion 1 hour * 2 / week). ","I am a transfer from ucdavis, so I missed the good time spent at ucdavis from time to time. I have experienced huge emotional issues (depression) in my first quarter here.  ","living in student housing and dining in the dining halls give me the sense of belonging. ","maybe increase the percentage of students who get an A so that the competition is not that vicious and pressing?"
"2020/01/20 10:53:56 PM MST","Male","applied math","applied math","Asian","Junior","Yes","No","3.9","No","Yes","Four year college","Four year college","limited time ","depression, nostalgia","living in residence hall","increase the percentage of people who get A "
"2020/01/20 11:05:54 PM MST","Female","Political Science","n/a","Latino/Hispanic","Sophmore","No","No","3.5","No","Yes","High School or Less","High School or Less","n/a","n/a","Participating in Latinx clubs have really helped me feel like I belong. ","I think there should be more resources for students who need outside help!"
"2020/01/20 11:29:24 PM MST","Female","Business Economics","Education and Disability Studies","Caucasian","Sophmore","No","No","3.0","Yes","No","Graduate or professional degree","Graduate or professional degree","I am challenged by multiple choice tests in the fields of economics, and I found that the professors were not always very helpful in those regards. This made it very difficult to have confidence in my own success, and to trust in the faculty. ","I have severe PTSD, so taking challenging STEM classes was very hard for me, especially last quarter. It was hard to get up most days, so having to calculate the rate of return on goods seemed inferior in priority compared to my emotional problems. ","I felt a strong sense of belonging when I joined study groups for STEM, and I learned that I was not alone in struggling with the material.","Provide more resources for tutoring and have smaller class sizes for lectures, as sometimes it is very hard to focus when you are surrounded by 400 other people, some of which are being distracting."
"2020/01/20 11:32:09 PM MST","Female","Political Science ","","Latino/Hispanic","Sophmore","No","No","3.72","No","Yes","High School or Less","High School or Less","","","",""
"2020/01/20 11:51:06 PM MST","Female","Applied Math","No","Asian","Freshman","Yes","No","3.4","No","No","Two year college","Two year college","When I need to explain something in English with other students.","I want to find a mentor to guide me through my academic and career path.","Many clubs are too selective and are only open to a specific group of people or bonded by ethnicity mainly.","Develop more research opportunities for freshmen and sophomores."
"2020/01/21 12:11:23 AM MST","Female","Political Science","","Asian","Sophmore","No","No","3.5","Yes","No","Four year college","Graduate or professional degree","As a former STEM major, I do remember that one of the biggest challenges for me was the pace of the material. It constantly felt like we were jumping from topic to topic, granted I was still new to the quarter system at that time. Overall, I just felt that tests required us to think about the subject in a way that was never explained, and I straggled with that a lot.","I felt that I was emotionally overwhelmed and very stressed all of the time. Like there was no time to really relax because then I would be behind everyone else.","I felt like I belonged when I realized that a lot of STEM majors felt as dumb as I did.","Try to engage with students more instead of talking at them, and please don't make the classes so hard that you feel like you can't enjoy the college experience. School is obviously first priority, but it is also important for people to grow into a full person, and they can't do that if they only study all day everyday."
"2020/01/21 12:55:06 AM MST","Male","Biochemistry","","Asian","Freshman","Yes","No","4.0","No","No","Four year college","Four year college","I did not do well for 1 term in high school and my grades were required to apply for programs in the next. I was not chosen for the programs I wanted due to my grades.","N/A","UCLA Orientation","Mentorship to provide STEM majors with the opportunities to do research"
"2020/01/21 3:08:06 AM MST","Male","Psychobiology","N/A","Asian;Vietnam","Sophmore","No","No","4.0","No","Yes","Two year college","High School or Less","The main issue being a STEM major for me is not being fully passionate in the subjects that I am learning about but just putting so much time into it that I do well enough to have the grades looks like I'm passionate about it. So I'm stuck in this limbo stage of being capable of doing relatively well in this field but knowing deep down that I don't enjoy it as much as I should. ","As an Asian immigrant who has immigrant parents as well, being open about desires and career aspirations are always tough conversations to bring up. My parents specifically tell me that I should be whatever makes me happy, but deep down I just feel this need to follow this STEM path because the numbers don't lie and most careers branching from STEM majors are stable, which is mainly the goal for many immigrants. ","I am involved in this retention group called SEA CLEAR (Southeast Asian Campus Learning Education and Retention) which is composed of other undergraduate students who share similar experiences and struggles as I do. This has really helped me maintain some sanity, knowing that other students are going through the motions like myself and feel stuck in some ways. ","I honestly have no real solutions other than look to build more retention groups like SEA CLEAR that target other demographics. The disconnect and issue isn't the fact that school is too hard, because we understand why it's hard. We're the future of America and it's necessary that we're able to be the best problem solvers and be able to work through difficult situations. The real problem is that there needs to be more spaces to express those feelings of frustration and hopelessness when students do get tired of it and just need a healthy space to vent. "
"2020/01/21 3:09:38 AM MST","Male","Psychobiology ","N/A","Asian;Vietnam","Sophmore","No","No","4.0","No","Yes","Two year college","High School or Less","The main issue being a STEM major for me is not being fully passionate in the subjects that I am learning about but just putting so much time into it that I do well enough to have the grades looks like I'm passionate about it. So I'm stuck in this limbo stage of being capable of doing relatively well in this field but knowing deep down that I don't enjoy it as much as I should. ","As an Asian immigrant who has immigrant parents as well, being open about desires and career aspirations are always tough conversations to bring up. My parents specifically tell me that I should be whatever makes me happy, but deep down I just feel this need to follow this STEM path because the numbers don't lie and most careers branching from STEM majors are stable, which is mainly the goal for many immigrants. ","I am involved in this retention group called SEA CLEAR (Southeast Asian Campus Learning Education and Retention) which is composed of other undergraduate students who share similar experiences and struggles as I do. This has really helped me maintain some sanity, knowing that other students are going through the motions like myself and feel stuck in some ways. ","I honestly have no real solutions other than look to build more retention groups like SEA CLEAR that target other demographics. The disconnect and issue isn't the fact that school is too hard, because we understand why it's hard. We're the future of America and it's necessary that we're able to be the best problem solvers and be able to work through difficult situations. The real problem is that there needs to be more spaces to express those feelings of frustration and hopelessness when students do get tired of it and just need a healthy space to vent. "
"2020/01/21 9:56:44 AM MST","Female","Financial Actuarial Maths","Statistics (Maybe)","Asian","Freshman","Yes","No","3.5","No","Yes","Two year college","High School or Less","","","Approachable professors & TAs",""
"2020/01/21 10:55:25 AM MST","Female","Sociology","N/A","Latino/Hispanic","Senior","No","No","2.9","No","Yes","High School or Less","High School or Less","It was difficult to keep up with material (math, physics, chemistry) that was being taught at a fast pace. ","It can sometimes be discouraging to not have someone who comes from a similar background, can understanding first hand the challenges faced with education in low income communities. Prioritize students behavior (detention, calls home for misbehavior, etc.) as opposed to education. ","Working hard to get where I am. I have had many set-backs but I persist because of my families sacrifices (financial support) , they are one of my motivations to continue when I feel like giving up (not study). I was once worried about what others thought about me but now I am more focused on my abilities, and work-ethic which are proof that I am where I am because of the time I have invested in myself and my future. ","It may be beneficial to have online lectures to follow, streams (study sessions) especially for students who commute and work. "
"2020/01/21 11:30:01 AM MST","Female","Molecular Cell and Developmental Biology ","N/A","African American","Sophmore","No","No","3.26","Yes","No","Four year college","Four year college","N/A","N/A","N/A","N/A"
"2020/01/21 12:04:39 PM MST","Male","Political Science","History","Caucasian","Sophmore","No","No","4.63","Yes","No","Four year college","Graduate or professional degree","I am not a STEM major","I am not a STEM major","The different clubs and organizations that provide social outings, communal feeling in libraries during midterm and finals weeks.","I am not a STEM major"
"2020/01/21 12:10:32 PM MST","Female","English","","Asian","Sophmore","No","No","3.8","No","Yes","High School or Less","High School or Less","Not a STEM major. As an English major, my biggest struggle is keeping up with my classmates since English was not my first language.","Not a STEM major. ","I feel a sense of belonging on clubs that cater to my identities like being Southeast Asian. I think that since English is a white-dominated major, it is hard to find places I fit in with if it has to do with my major.","Not a STEM major. I think that UCLA could be better at helping students of color in any major. "
"2020/01/21 12:26:18 PM MST","Male","Biology","","Asian;China ","Sophmore","No","No","3.89","Yes","No","Graduate or professional degree","Graduate or professional degree","Time management is a little hard since STEM classes are challenging.","none ","none","Everything is good "
"2020/01/21 12:26:46 PM MST","Female","Biology","N/A","Asian;Caucasian;Mixed Race (Caucasian and Chinese)","Sophmore","No","No","3.946","Yes","No","Four year college","Four year college","I struggle with paralyzing perfectionism, where my drive to succeed sometimes impedes my ability to actually do so.  For example, in my freshman year I had to take weekly quizzes for my Life Science course.  These quizzes comprised close to 5% of my grade and, objectively, were not a big deal.  However, I sometimes felt intensely anxious when taking them, especially if I thought I performed poorly.  This led to academic struggles in the class.  I felt negatively about my academic performance, even when my weighted grade was high, because these scores were usually lower.  Sometimes this made me not want to do assignments or go to class, but I made myself because I knew these also counted toward my grade.  This anxiety was mostly fueled by rumors about ""weed-out"" STEM classes, which curve down to lower grades.  It turns out that these rumors were mostly incorrect.   Even though the classes were difficult, I performed well and succeeded.","When I was a first-year student, I struggled with being away from home.  I am very close to my family, so living on-campus was a shock for me.  I often felt isolated and had a difficult time making friends.  I sometimes felt looked down upon because I was unsure of my major/career path.  Many of my peers seemed more organized in this sense and aspired to do great things in their life.  I often felt lonely and depressed.  I managed to find a small community for other students like me through the College Honors Program and my classes.  I made friends and pushed myself to make the most of the university.","Being part of a club made me feel like I belonged on campus.  My club visits elementary schools weekly to teach science.  I met some great people and felt that I was making a positive contribution to the community.  On the other hand, living on the Hill made me feel more isolated.  I had a difficult time connecting to people and making friends in such a large community.  I sometimes felt that I was the only person struggling socially, as many people I encountered were always positive and outgoing.","Some ways to improve STEM majors is to focus on holistic learning over ""weeding out"" students in the first year(s).  This would help students adjust and lower stress levels.  Additionally, you could create organizations and communities on-campus for students, including students who do not have definitive post-college plans.  It would be great if there were a general mailing list for STEM majors so we could learn about opportunities outside our individual major.  That way, we could explore the campus and meet different people who may share similar experiences with us."
"2020/01/21 12:31:33 PM MST","Male","Math of Computation","Intended Statistics, not yet declared","Caucasian","Sophmore","No","No","3.154","Yes","No","Four year college","Four year college","Oftentimes professors cover material in lecture too quickly for me to take in, however this is largely due to a lack of preparation (such as reading the textbook before class and going over lecture slides) on my part.","My lack of understanding of course material often leads to a sense of incompetence, which discourages me from putting in the effort required to achieve understanding. Initially falling behind in a course starts a positive feedback loop of feeling inept, discouraged, and being afraid of asking basic questions for fear of wasting the professor/TA's time.","Knowing that I'm not alone in whatever I'm struggling with. If when speaking with other students (for example during TA section) I discover that they have similar questions and lack of understanding, I don't feel quite as isolated and incompetent.","Have professors/TAs encourage questions, regardless of complexity. Host additional office hours or review sessions with the goal of increasing one-on-one or small group interaction between student and professor/TA. Assign textbook readings to provide an additional incentive to stay caught up with course material."
"2020/01/21 12:34:52 PM MST","Female","Communications","(TBD) Food Studies","Asian;Caucasian;Korean-American","Sophmore","No","No","3.4","Yes","No","Graduate or professional degree","Graduate or professional degree","I am not a STEM major - but as a non-STEM major, there are some academic challenges in that occasionally in STEM related classes I've taken, some STEM majors will be less inclined to help out non-STEM majors, in a way that often makes UCLA feel over competitive. ","People at this school really like to make a big divide between the lives of STEM and non-STEM majors, which can be funny and make some good jokes, but at the end of the day is weird to me, because we are all going through similar experiences and it seems unfair to me to put someone down as having an ""easier"" life or being more ""boring"" or whatever, simply because of their major. ","MY favorite classes have been interdisciplinary ones where STEM and non-STEM majors come together and work together. It really breaks down that stupid invisible wall and helps with a sense of belonging. Working on campus as a ASUCLA employee has also made me feel a great sense of belonging as I work alongside all sorts of different students and adults, with little or no collection to whatever my major may be. ","Integrate more!"
"2020/01/21 12:40:22 PM MST","Female","Political Science","History","Latino/Hispanic","Sophmore","No","No","3.8","Yes","No","Two year college","High School or Less","NA","NA","NA","NA"
"2020/01/21 12:57:57 PM MST","Male","Economics","Accounting","Asian","Sophmore","No","No","3.6","Yes","Yes","Four year college","High School or Less","It is frustrating when academics have no relevance with the major or career you are pursuing ","It is hard balancing a social life ","Bruinwalk","Make content relatable to careers"
"2020/01/21 1:08:51 PM MST","Female","Applied Maths","Statistics","Asian;Taiwanese","Freshman","Yes","No","3.8","No","No","Four year college","Graduate or professional degree","having to absorb material at a rapid pace on the quarter system","when i took cs31 last quarter there was the emotional stress of not being able to complete projects in time","1. RAs holding fun socials in the dorm lounge  2. super friendly and helpful staff all around ucla 3. dining halls on the hill that provide easy social settings","maybe offer more of the impacted classes for students to be able to pursue their desired major"
"2020/01/21 1:43:05 PM MST","Female","Political Science","Spanish","Latino/Hispanic","Sophmore","No","No","2.5","Yes","Yes","High School or Less","High School or Less","I am not a STEM major. I am taking Statistics 10 because it is a requirement for my major. ","This question does not pertain to me; I am not a STEM major.","Before I came to this university I was always told that I would probably not feel like I belonged due to my background and my ethnicity. As a Hispanic I wouldn't say that I didn't feel like I belonged; I just at times felt that I was not represented as much as other are throughout campus. 
At times I do feel a sense on not belonging because there are certain areas in my education that I was not able to obtain as much information / knowledge as I would have liked. The schools that I have attended weren't the best. ","I am not a STEM major myself, but I do have many friends who are. Many have said that the courses aren't necessarily challenging but just require a lot of their time. It is hard to focus all their time on one course when they have other courses to focus on as well. "
"2020/01/21 2:07:32 PM MST","Male","Computer Science","Statistics","Asian;China","Sophmore","No","No","3.86","Yes","No","Graduate or professional degree","Graduate or professional degree","trying to enroll in statistics classes as a computer science major, being required to take STATS 10 for the minor when I have already taken Math 170A and am enrolled in STATS100B","cultural/social: mindset of obtaining internships in 1st/2nd year as a computer science major, prevalence of cheating/not caring about classes related to your career but are still useful to know(example: operating systems)","""sense of belonging"": clubs such as ACM, creative labs, running club, hallmates/roommates",""
"2020/01/21 2:27:44 PM MST","Female","Linguistics and Asian Languages and Cultures","","Asian;Chinese and Cambodian","Sophmore","No","No","3.2","Yes","Yes","High School or Less","High School or Less","I think lack of emphasis in stem in high school for me impacts my performance in STEM classes. ","When I was going through major issues with my childhood trauma during my first quarter in college taking stem classes, it heavily impacted my performance in school. ","My involvement in the Cambodian student organization on campus, United Khmer Students, helped me develop a sense of belonging on campus. ","I believe if there is more accessible resources to tutoring in these classes would help tremendously. "
"2020/01/21 3:04:45 PM MST","Male","Applied Math","Stats","Caucasian","Sophmore","No","No","3.45","Yes","No","Graduate or professional degree","Graduate or professional degree","Large class sizes made it hard to receive personal attention.","My bipolar disorder has created times were I am not mainly focused on my studies.","Self-identity is hard to find on campus because there seems to be someone who is better than you at everything.","Reduce class sizes and cater toward different students study needs."
"2020/01/21 3:04:51 PM MST","Female","Musical Theatre","Cognitive Science","Caucasian","Sophmore","No","No","3.6","Yes","No","Graduate or professional degree","Graduate or professional degree","I am a non-STEM major","N/A","People give me a weird look every time I say my major. Also, I'm very much confined to MacGowan Hall and I only get 5-10 minutes to run to Young or MS for my GE classes.",""
"2020/01/21 3:57:38 PM MST","Male","International Development Studies","Music Industry","African American","Sophmore","No","No","3.234","Yes","No","Four year college","High School or Less","","","",""
"2020/01/21 4:03:06 PM MST","Female","Financial Actuarial Mathematics","Accounting","Caucasian;Latino/Hispanic","Sophmore","No","No","3.377","Yes","Yes","High School or Less","High School or Less","","","Joining a sorority and bruin runners definitely helped, because I met some of my closest friends","better profs for math especially!!"
"2020/01/21 4:36:11 PM MST","Female","Pre-Applied Mathematics","none","Asian;Vietnam","Freshman","No","No","3.89","No","Yes","High School or Less","High School or Less","From my experience, I believe that STEM classes here are very impersonal and do not offer students much leeway to fully absorb materials before moving on to more advanced ones. Mostly, this is because some STEM professors I've had are quite unresponsive when we students try to communicate with them outside class, and TAs can only help so many students at a time. The further we students fall behind, the harder it is to recover as more and more materials are based on the earlier ones.","As a first-generation student from a low-income family, a lot of pressure is placed on me to obtain a high-paying career in the future, and admittedly, I am guided to believe that it is only achievable through a STEM major. Such external pressure and my emotional incompatibility with STEM makes it, in a way, conflicting for me when I try to motivate myself with my studies. ","I am a first-year, off-campus student with a commute time of 2 hours round-trip, so it is difficult for me to find a sense of belonging in the UCLA community. Not only is it difficult for me to spend time with my peers, but on-campus resources like tutoring are also mostly inaccessible for me.","A major suggestion I have is to increase the amount of lectures offered for STEM classes so that the average class size will be smaller and students can have a better opportunity to bond with their professors and TAs. This is, I believe, one major flaw in campuses as big as the UCs and especially UCLA, as our student to professor ratio is way too unbalanced."
"2020/01/21 4:42:07 PM MST","Male","Math of Computation","Statistics","Asian;Taiwanese","Sophmore","No","No","3.624","Yes","No","Graduate or professional degree","Graduate or professional degree","Couldn't understand the topic well, TA didn't know topic well so he taught badly","Im shy, so sometimes it's hard for me to raise my hand and ask questions that I have questions about","I felt a sense of belonging when I was engaged in my coursework and class and had stuff to do with friends.l ","Have more professors and TAs that could teach"
"2020/01/21 4:47:13 PM MST","Male","Math of Computation","Statistics","Asian;Taiwanese","Sophmore","No","No","3.624","Yes","No","Graduate or professional degree","Graduate or professional degree","Couldn't understand topic well, TA and Professor taught badly","Hard to speak up due to shyness","Felt engaged in class","Smaller setting for students to engage in learning"
"2020/01/21 4:54:17 PM MST","Female","Pre-Business Economics","","Asian","Freshman","No","No","3.429","Yes","No","Four year college","Four year college","Large groups signing up for the same classes, limiting freedom of your schedule if your preferred class filled up quickly. My high school didn't offer as many AP courses as others when we would talk about our high school, therefore putting me behind some students in completion of course work.","","","A comprehensive list of all the organizations offered on campus sorted by major/interested career path"
"2020/01/21 5:05:04 PM MST","Female","Political Science","","Latino/Hispanic","Sophmore","No","No","3.7","Yes","Yes","High School or Less","High School or Less","I am not STEM. ","I am not STEM. ","I come from a small high school in which academics were not important to the students, so I feel like I don't belong when I see others that had a different high school experience that I feel prepared them better for UCLA. ","I am not STEM. "
"2020/01/21 5:09:14 PM MST","Female","Psychology","Global Health","Latino/Hispanic","Sophmore","No","No","2.8","No","Yes","High School or Less","High School or Less","I believe in important aspect of why I've found some things difficult in my STEM classes than my classmates would have to be due to the fact that I was not introduced to the same material as the rest of my caucasian classmates as our educational background was not the same. It is known that schools for minorities are more than often underfunded compared to other schools were the racial distribution is predominantly white. ","One important situation that made it challenging for me in some of my STEM classes is the fact that the majority of my classmates are caucasian and therefore the lack of representation from my community group/ ","Joining groups that are geared towards my racial group have helped me actually feel part of ""UCLA"". ","I believe providing more educational help, like PLFs do, would always be helpful for minorities like me. "
"2020/01/21 6:09:42 PM MST","Female","Computational and Systems Biology","Environmental Systems and Society","Asian","Sophmore","No","No","3.7","Yes","No","Graduate or professional degree","Graduate or professional degree","This past fall quarter, I took my first coding class and struggled quite a bit to understand the concepts. ","This has not really been a big issue for me, but I definitely feel the pressure to do well along with my peers because UCLA has such an academically demanding environment.","I felt a sense of belonging when I made friends with those in the same lectures as me, and forming study groups.","It would be helpful to provide more counseling hours for each STEM department"
